site_name,pub_hosp_ind,current_peer_group,lat,long,cluster
"Alfred, The [Prahran]",Public,Principal referral hospitals,-37.84600147,144.98264,1
"Bendigo Hospital, The",Public,Principal referral hospitals,-36.74879208,144.2807498,2
Bendigo Health - Anne Caudle,Public,Public acute group A hospitals,-36.75109594,144.279911,2
Austin Hospital,Public,Principal referral hospitals,-37.75656125,145.0586566,3
Heidelberg Repatriation Hospital,Public,Public acute group C hospitals,-37.7550049,145.0476609,3
Bairnsdale Regional Health Service,Public,Public acute group C hospitals,-37.83130445,147.6077023,4
Box Hill Hospital,Public,Public acute group A hospitals,-37.81361455,145.1184053,5
Hamilton Base Hospital,Public,Public acute group C hospitals,-37.7370741,142.0311163,6
Penshurst & District Memorial,Public,Very small hospitals,-37.877558,142.28235,6
Bundoora Extended Care Centre,Public,Public rehabilitation hospitals,-37.70150345,145.0555573,3
East Grampians Health Service [Ararat],Public,Public acute group C hospitals,-37.2786257,142.9327921,7
East Grampians Health Service [Willaura],Public,Very small hospitals,-37.54481735,142.7460039,7
Goulburn Valley Health [Shepparton],Public,Public acute group A hospitals,-36.3634261,145.4046573,8
Goulburn Valley Health [Tatura],Public,Very small hospitals,-36.4392195,145.2256594,8
Goulburn Valley Health [Waranga],Public,Very small hospitals,-36.5876304,145.0085595,8
Colac Area Health,Public,Public acute group C hospitals,-38.3410271,143.582525,9
Northeast Health Wangaratta,Public,Public acute group A hospitals,-36.35411275,146.3138041,10
Mercy Hospital for Women,Public,Women's hospitals,-37.7558954,145.0609462,3
Monash Medical Centre [Clayton],Public,Principal referral hospitals,-37.920885,145.1207155,11
Footscray Hospital,Public,Public acute group A hospitals,-37.7924601,144.8893744,3
Royal Childrens Hospital [Parkville],Public,Specialist women's & children's hospitals,-37.79336472,144.9496895,3
Maroondah Hospital [East Ringwood],Public,Public acute group A hospitals,-37.80710005,145.2544186,5
Monash Medical Centre [Moorabbin],Public,Public acute group A hospitals,-37.92097205,145.0639104,11
Royal Womens Parkville,Public,Specialist women's & children's hospitals,-37.79860736,144.9552051,3
