source,destination,weight,long_hosp,lat_hosp,long_racf,lat_racf
838,396,1,144.9789509,-37.8448389,145.018038192456,-37.7033717
838,471,206,145.0585637,-37.7555989,145.018038192456,-37.7033717
838,82,2,145.045488,-37.755479,145.018038192456,-37.7033717
838,782,1,145.119799,-37.813761,145.018038192456,-37.7033717
838,441,1,145.119557,-37.814554,145.018038192456,-37.7033717
838,306,1,144.88738,-37.792388,145.018038192456,-37.7033717
838,241,2,144.9587474,-37.7546374,145.018038192456,-37.7033717
838,731,10,145.061589,-37.691614,145.018038192456,-37.7033717
838,160,1,144.9562153,-37.7999274,145.018038192456,-37.7033717
838,133,2,144.956057,-37.799269,145.018038192456,-37.7033717
838,188,4,144.947596,-37.778987,145.018038192456,-37.7033717
838,319,9,144.9744689,-37.8076887,145.018038192456,-37.7033717
838,758,2,144.815846115986,-37.7594624,145.018038192456,-37.7033717
838,811,189,145.0149132,-37.6525206,145.018038192456,-37.7033717
444,311,2,143.582875,-38.340956,143.153488,-38.237465
444,141,50,142.4777231,-38.3750107,143.153488,-38.237465
444,277,55,143.137817,-38.236754,143.153488,-38.237465
444,184,1,144.357557168236,-38.15179795,143.153488,-38.237465
444,695,1,142.479167390323,-38.3714579,143.153488,-38.237465
444,588,1,142.902183,-38.24061,143.153488,-38.237465
444,540,2,142.2092377,-36.7118674,143.153488,-38.237465
553,949,6,143.246848,-36.609559,142.975116,-36.365122
553,540,4,142.2092377,-36.7118674,142.975116,-36.365122
354,894,3,145.346076,-38.042334,145.811472,-38.437714
354,525,1,144.9940109,-37.8168201,145.811472,-38.437714
354,466,1,145.1338638,-38.1536671,145.811472,-38.437714
354,667,73,145.951417,-38.487597,145.811472,-38.437714
354,140,7,146.533757,-38.196566,145.811472,-38.437714
354,941,1,145.003096,-37.869802,145.811472,-38.437714
354,740,3,145.1730469,-38.1506663,145.811472,-38.437714
354,997,1,144.976056240715,-37.80778615,145.811472,-38.437714
354,128,7,145.927329,-38.172445,145.811472,-38.437714
772,894,1,145.346076,-38.042334,145.2329396,-37.9953003
772,742,9,145.220576,-37.977337,145.2329396,-37.9953003
772,229,1,145.1223061,-37.9200807,145.2329396,-37.9953003
772,529,6,145.076853,-37.954662,145.2329396,-37.9953003
226,471,37,145.0585637,-37.7555989,145.1461074,-37.7608986
226,82,1,145.045488,-37.755479,145.1461074,-37.7608986
226,782,63,145.119799,-37.813761,145.1461074,-37.7608986
226,525,2,144.9940109,-37.8168201,145.1461074,-37.7608986
226,661,2,145.2281658,-37.8486344,145.1461074,-37.7608986
226,319,3,144.9744689,-37.8076887,145.1461074,-37.7608986
226,811,1,145.0149132,-37.6525206,145.1461074,-37.7608986
226,301,1,145.14524,-37.88497,145.1461074,-37.7608986
129,471,3,145.0585637,-37.7555989,145.095122,-37.805381
129,782,111,145.119799,-37.813761,145.095122,-37.805381
129,442,4,145.033675,-37.8619388,145.095122,-37.805381
129,328,1,144.96434729999999,-37.799306,145.095122,-37.805381
129,441,4,145.119557,-37.814554,145.095122,-37.805381
129,101,1,144.984064902876,-37.811073,145.095122,-37.805381
129,525,13,144.9940109,-37.8168201,145.095122,-37.805381
129,321,2,145.24932,-37.808333,145.095122,-37.805381
129,802,3,145.243516,-37.811248,145.095122,-37.805381
129,319,8,144.9744689,-37.8076887,145.095122,-37.805381
129,208,1,144.9841621,-37.8117913,145.095122,-37.805381
129,997,1,144.976056240715,-37.80778615,145.095122,-37.805381
521,466,1,145.1338638,-38.1536671,145.0746637,-38.20778
942,752,9,147.08139,-38.10892,146.784454,-37.976031
942,140,1,146.533757,-38.196566,146.784454,-37.976031
942,319,1,144.9744689,-37.8076887,146.784454,-37.976031
278,141,1,142.4777231,-38.3750107,142.918415,-38.249056
278,588,1,142.902183,-38.24061,142.918415,-38.249056
454,396,2,144.9789509,-37.8448389,144.678541,-37.877869
454,782,1,145.119799,-37.813761,144.678541,-37.877869
454,306,24,144.88738,-37.792388,144.678541,-37.877869
454,759,1,145.0609462,-37.7558954,144.678541,-37.877869
454,133,3,144.956057,-37.799269,144.678541,-37.877869
454,319,2,144.9744689,-37.8076887,144.678541,-37.877869
454,208,1,144.9841621,-37.8117913,144.678541,-37.877869
454,997,2,144.976056240715,-37.80778615,144.678541,-37.877869
454,758,18,144.815846115986,-37.7594624,144.678541,-37.877869
454,950,233,144.698951,-37.885669,144.678541,-37.877869
454,909,2,144.885874223357,-37.79319115,144.678541,-37.877869
250,396,1,144.9789509,-37.8448389,144.145352,-37.329515
250,870,1,143.832191461499,-37.54090795,144.145352,-37.329515
250,285,62,143.8476414,-37.5597424,144.145352,-37.329515
250,145,1,144.284141,-36.749253,144.145352,-37.329515
250,195,15,144.145291480645,-37.33721345,144.145352,-37.329515
250,286,32,143.846182217642,-37.55761185,144.145352,-37.329515
962,469,1,145.99449813503,-36.55495715,146.088198,-37.04958
962,297,1,146.313804133264,-36.35411275,146.088198,-37.04958
651,587,4,144.365972,-38.151299,144.4024867,-38.0255676
651,184,6,144.357557168236,-38.15179795,144.4024867,-38.0255676
702,285,2,143.8476414,-37.5597424,143.247871,-36.608944
702,145,3,144.284141,-36.749253,143.247871,-36.608944
702,571,1,142.936307,-37.279771,143.247871,-36.608944
702,949,9,143.246848,-36.609559,143.247871,-36.608944
702,925,6,143.7396713,-37.041100900000004,143.247871,-36.608944
702,286,7,143.846182217642,-37.55761185,143.247871,-36.608944
702,657,2,142.780901,-37.058849,143.247871,-36.608944
153,285,2,143.8476414,-37.5597424,142.594166,-36.458357
153,949,1,143.246848,-36.609559,142.594166,-36.458357
153,931,11,142.3819587,-36.2531827,142.594166,-36.458357
153,286,1,143.846182217642,-37.55761185,142.594166,-36.458357
153,657,1,142.780901,-37.058849,142.594166,-36.458357
153,540,63,142.2092377,-36.7118674,142.594166,-36.458357
4,374,2,143.556269803699,-35.340599,143.357485,-35.185888
875,285,51,143.8476414,-37.5597424,143.891693,-37.421401
875,286,12,143.846182217642,-37.55761185,143.891693,-37.421401
945,711,3,144.261495,-36.7624286,144.697936,-36.365814
945,145,163,144.284141,-36.749253,144.697936,-36.365814
945,686,60,144.748754,-36.13778,144.697936,-36.365814
945,525,1,144.9940109,-37.8168201,144.697936,-36.365814
945,55,2,145.405657,-36.362111,144.697936,-36.365814
945,713,1,145.0421803,-36.315573,144.697936,-36.365814
945,932,7,144.697936,-36.365814,144.697936,-36.365814
945,133,1,144.956057,-37.799269,144.697936,-36.365814
945,188,1,144.947596,-37.778987,144.697936,-36.365814
945,17,2,144.2633801,-36.761159,144.697936,-36.365814
945,997,2,144.976056240715,-37.80778615,144.697936,-36.365814
206,894,76,145.346076,-38.042334,145.300389,-38.112638
206,742,20,145.220576,-37.977337,145.300389,-38.112638
206,466,18,145.1338638,-38.1536671,145.300389,-38.112638
206,229,7,145.1223061,-37.9200807,145.300389,-38.112638
206,740,34,145.1730469,-38.1506663,145.300389,-38.112638
206,746,1,145.192029603238,-37.9663045,145.300389,-38.112638
975,285,3,143.8476414,-37.5597424,141.246061,-36.381186
975,540,46,142.2092377,-36.7118674,141.246061,-36.381186
886,525,1,144.9940109,-37.8168201,144.861613,-37.747734
